Domain,IP,Status
ns6.synerfy.vn..gamek.vn,169.62.159.227,Die
ns7.synerfy.vn..gamek.vn,123.30.51.247,Die
ns8.synerfy.vn..gamek.vn,210.245.87.125,Die
www.m.gamek.vn,222.255.27.166,200
hn.gamek.vn,222.255.27.179,503
c.gamek.vn,123.30.151.94,200
choigame.gamek.vn,222.255.27.156,503
v.gamek.vn,222.255.27.51,503
suno.gamek.vn,123.30.151.104,404
btv.gamek.vn,123.30.151.104,404
gamek.vn,14.225.10.24,crtsh
ul.gamek.vn,151.101.1.195,alienvault
www.gamek.vn,222.255.27.179,rapiddns
mail.gamek.vn,74.125.68.121,rapiddns
app.gamek.vn,123.30.151.74,rapiddns
hoso.gamek.vn,123.30.151.104,alienvault
s.gamek.vn,123.30.151.104,alienvault
m.gamek.vn,123.30.151.104,alienvault
