Domain,IP,Status
ns6.synerfy.vn..vivavietnam.vn,169.62.159.227,Die
ns7.synerfy.vn..vivavietnam.vn,123.30.51.247,Die
ns8.synerfy.vn..vivavietnam.vn,210.245.87.125,Die
studio1.vivavietnam.vn,123.30.151.84,503
apigate2.vivavietnam.vn,123.30.151.84,503
content-manager.vivavietnam.vn,123.30.151.81,200
apigate1.vivavietnam.vn,123.30.151.84,waybackarchive
mail.vivavietnam.vn,173.194.73.121,waybackarchive
kingnetwork.vivavietnam.vn,14.225.10.41,waybackarchive
manager.vivavietnam.vn,123.30.151.81,digitorus
vivavietnam.vn,123.30.151.84,digitorus
io.web.vivavietnam.vn,14.225.10.32,leakix
instantview.vivavietnam.vn,123.30.151.81,leakix
studio.vivavietnam.vn,123.30.151.84,rapiddns
