Domain,IP,Status
ns6.synerfy.vn..cafebiz.vn,169.62.159.227,Die
ns7.synerfy.vn..cafebiz.vn,123.30.51.247,Die
ns8.synerfy.vn..cafebiz.vn,210.245.87.125,Die
mb.cafebiz.vn,222.255.27.147,503
www.cafebiz.vn,123.30.151.75,200
c.cafebiz.vn,123.30.151.94,200
s.cafebiz.vn,222.255.27.147,403
v.cafebiz.vn,222.255.27.147,503
s2.cafebiz.vn,222.255.27.147,503
ul.cafebiz.vn,151.101.65.195,200
ul.cafebiz.vn,151.101.1.195,200
app.cafebiz.vn,123.30.151.75,200
suno.cafebiz.vn,192.168.6.203,Die
btv.cafebiz.vn,123.30.151.75,404
