Domain,IP,Status
ns6.synerfy.vn..vinfast.vn,169.62.159.227,Die
ns7.synerfy.vn..vinfast.vn,123.30.51.247,Die
ns8.synerfy.vn..vinfast.vn,210.245.87.125,Die
media.vinfast.vn,222.255.27.45,200
fioridev.vinfast.vn,116.97.110.222,Die
technical.vinfast.vn,112.78.2.241,200
www.oto.vinfast.vn,123.30.151.93,200
www.xemaydien.vinfast.vn,123.30.151.93,200
sapwebdev.vinfast.vn,116.97.110.222,Die
sapwebqas.vinfast.vn,116.97.110.222,Die
sapweb.vinfast.vn,116.97.110.222,Die
supplier.vinfast.vn,14.238.8.58,waybackarchive
tuychonxeoto.vinfast.vn,103.238.209.205,waybackarchive
econtract.vinfast.vn,104.18.22.168,waybackarchive
grcc.vinfast.vn,104.18.22.168,waybackarchive
cmu-cdn.vinfast.vn,104.18.22.168,waybackarchive
old.vinfast.vn,103.238.209.35,waybackarchive
khoanhkhac.vinfast.vn,104.18.22.168,waybackarchive
crl.connected-car.vinfast.vn,18.67.216.60,alienvault
www.connected-car.vinfast.vn,10.133.192.40,alienvault
support.grsc.vinfast.vn,204.141.42.99,crtsh
dev.iot.connected-car.vinfast.vn,3.140.230.146,leakix
trainee.vinfast.vn,103.238.211.196,rapiddns
epm.vinfast.vn,76.76.21.98,alienvault
prod.iot.connected-car.vinfast.vn,54.151.172.244,leakix
oto.vinfast.vn,103.238.209.200,rapiddns
apps.vinfast.vn,103.238.211.150,alienvault
s3.connected-car.vinfast.vn,54.192.18.82,leakix
public.s3.connected-car.vinfast.vn,18.67.216.82,alienvault
service.vinfast.vn,204.141.42.99,crtsh
vinfast.vn,104.18.22.168,crtsh
it.helpdesk.vinfast.vn,204.141.42.99,crtsh
api.rsa.vinfast.vn,52.76.53.149,leakix
api.inventory.connected-car.vinfast.vn,10.133.196.46,alienvault
inventory.connected-car.vinfast.vn,10.133.196.44,alienvault
connected-car-stg.vinfast.vn,13.35.7.125,leakix
stg.iot.connected-car.vinfast.vn,13.251.207.39,leakix
escooter-admin.vinfast.vn,104.18.23.168,crtsh
sqm.vinfast.vn,20.205.37.241,alienvault
khkk.vinfast.vn,20.43.132.135,crtsh
thiduacongdong.vinfast.vn,104.18.23.168,crtsh
www.b2b.vinfast.vn,13.228.136.154,crtsh
escooter-api.vinfast.vn,18.139.216.193,crtsh
xemaydien.vinfast.vn,103.238.209.200,leakix
rsa.vinfast.vn,54.179.109.68,leakix
mobile.connected-car.vinfast.vn,13.35.58.98,leakix
partners.vinfast.vn,103.238.209.149,crtsh
escooter-api-internal.vinfast.vn,10.135.3.39,crtsh
www.b2b-stg.vinfast.vn,52.220.60.95,crtsh
www.vinfast.vn,104.18.23.168,leakix
connected-car-internal-stg.vinfast.vn,10.133.209.43,alienvault
api.connected-car.vinfast.vn,10.133.192.14,alienvault
