Domain,IP,Status
ns6.synerfy.vn..aiservice.vn,169.62.159.227,Die
ns7.synerfy.vn..aiservice.vn,123.30.51.247,Die
ns8.synerfy.vn..aiservice.vn,210.245.87.125,Die
beta.nspapi.aiservice.vn,222.255.27.27,503
video.aiservice.vn,123.30.151.80,503
computervision.aiservice.vn,123.30.151.81,leakix
log.aiservice.vn,123.30.151.70,alienvault
news.aiservice.vn,123.30.151.124,alienvault
newstesting.aiservice.vn,222.255.27.27,alienvault
snews.aiservice.vn,123.30.151.81,alienvault
pega.aiservice.vn,123.30.151.79,alienvault
boxpr.aiservice.vn,123.30.151.80,alienvault
speech.aiservice.vn,123.30.151.80,alienvault
js.aiservice.vn,14.225.10.2,waybackarchive
lio.aiservice.vn,123.30.151.124,leakix
news-stream.aiservice.vn,123.30.151.124,alienvault
nspapi.aiservice.vn,123.30.151.80,alienvault
nlp.aiservice.vn,123.30.151.81,leakix
rec.aiservice.vn,14.225.10.11,dnsdumpster
recsys.aiservice.vn,123.30.151.81,alienvault
