Domain,IP,Status
ns6.synerfy.vn..afamily.vn,169.62.159.227,Die
ns7.synerfy.vn..afamily.vn,123.30.51.247,Die
ns8.synerfy.vn..afamily.vn,210.245.87.125,Die
c.afamily.vn,123.30.151.94,200
v.afamily.vn,222.255.27.179,503
waa.afamily.vn,222.255.27.156,404
www.waf.afamily.vn,222.255.27.156,404
bennhauvuimetit.afamily.vn,222.255.27.27,503
yeuthuongtheodau.afamily.vn,222.255.27.27,503
chapcanhtuonglai.afamily.vn,222.255.27.27,503
songkhoethanhthoi.afamily.vn,123.30.151.81,503
bephanhphuc.afamily.vn,123.30.151.81,503
betam.afamily.vn,123.30.151.108,503
cachlykhongcachlong.afamily.vn,123.30.151.81,503
chomotthehemanhme.afamily.vn,123.30.151.81,503
app.afamily.vn,123.30.151.74,200
suno.afamily.vn,123.30.151.74,404
nhaminhchon.afamily.vn,14.225.10.16,200
ienvault,,
s3.afamily.vn,123.30.151.74,waybackarchive
hanhtrangchocon.afamily.vn,123.30.151.81,alienvault
video.afamily.vn,14.225.10.16,alienvault
m.afamily.vn,123.30.151.74,alienvault
maitoctoiyeu.afamily.vn,123.30.151.81,alienvault
dreamland.afamily.vn,123.30.151.74,rapiddns
beta.afamily.vn,123.30.151.108,rapiddns
ul.afamily.vn,151.101.1.195,alienvault
s.afamily.vn,222.255.27.51,alienvault
search.afamily.vn,222.255.27.195,alienvault
tuyendung.afamily.vn,222.255.27.195,alienvault
www.afamily.vn,14.225.199.135,rapiddns
waf.afamily.vn,222.255.27.156,rapiddns
afamily.vn,14.225.199.135,crtsh
www.dreamland.afamily.vn,123.30.151.74,rapiddns
