Domain,IP,Status
ns6.synerfy.vn..k8s.vn,169.62.159.227,Die
ns7.synerfy.vn..k8s.vn,123.30.51.247,Die
ns8.synerfy.vn..k8s.vn,210.245.87.125,Die
ns1.burpsuite.k8s.vn,103.69.195.156,Die
api-server.k8s.vn,103.107.181.36,Die
stg-api-server.k8s.vn,103.107.181.13,Die
auth.k8s.vn,103.107.181.112,Die
grafana.k8s.vn,103.107.181.230,200
git.k8s.vn,10.3.79.43,Die
grafana.bizfly-drive.k8s.vn,103.107.181.61,alienvault
gitlab.k8s.vn,103.69.195.236,waybackarchive
pushgateway.k8s.vn,103.69.194.108,alienvault
seafile.k8s.vn,103.69.195.61,alienvault
postfix.k8s.vn,103.69.194.193,rapiddns
nextcloud.k8s.vn,103.107.181.61,rapiddns
vccloud-av.k8s.vn,123.30.151.122,waybackarchive
flask-hello.draft.k8s.vn,103.69.194.164,rapiddns
redteam.k8s.vn,123.31.11.101,alienvault
registry.k8s.vn,103.69.195.85,alienvault
harbor.vccsec.k8s.vn,103.69.194.99,alienvault
burpsuite.k8s.vn,103.69.195.156,waybackarchive
ip2dc.k8s.vn,103.107.181.54,alienvault
mattermost.k8s.vn,103.69.194.164,crtsh
goharbor.k8s.vn,103.69.194.190,waybackarchive
pushgateway.beta.k8s.vn,103.69.194.118,alienvault
prometheus.bizfly-drive.k8s.vn,103.107.181.61,alienvault
vccsec.k8s.vn,103.69.194.144,alienvault
rancher.k8s.vn,103.107.181.78,digitorus
sentry.beta.k8s.vn,103.69.195.199,digitorus
grafana.beta.k8s.vn,103.69.194.118,alienvault
prometheus.k8s.vn,103.69.194.108,alienvault
log.k8s.vn,113.160.73.210,waybackarchive
squid.k8s.vn,103.69.194.241,rapiddns
graphite.k8s.vn,103.107.181.87,alienvault
conference.k8s.vn,103.69.195.151,alienvault
blackbox-exporter.beta.k8s.vn,103.69.194.118,alienvault
prometheus.beta.k8s.vn,103.69.194.118,alienvault
alertmanager.beta.k8s.vn,103.69.194.118,alienvault
cerebro.beta.k8s.vn,103.69.194.118,alienvault
gitlab.vccsec.k8s.vn,103.69.194.162,alienvault
