Domain,IP,Status
ims2.giadinh.net.vn,123.30.151.84,alienvault
mms2.giadinh.net.vn,123.30.151.84,alienvault
www.giadinh.net.vn,123.30.151.75,alienvault
s2.giadinh.net.vn,14.225.10.17,alienvault
phapluatbandoc.giadinh.net.vn,123.30.151.75,alienvault
giadinh.net.vn,14.225.10.17,crtsh
thoidaiplus.giadinh.net.vn,125.212.247.39,rapiddns
s.giadinh.net.vn,222.255.27.195,alienvault
s1.giadinh.net.vn,14.225.10.17,alienvault
m.giadinh.net.vn,14.225.10.17,alienvault
unghotructuyen.giadinh.net.vn,45.124.92.33,rapiddns
admin.giadinh.net.vn,222.255.27.51,rapiddns
